company,companyLabel,productTypeLabel,countryLabel,hqLabel,hqCoord,foundingYearShort
http://www.wikidata.org/entity/Q104530260,Tjiboeni-Tjipongpok Caoutchouc Maatschappij,кофе,Нидерланды,Амстердам,Point(4.883333333 52.366666666),1910
http://www.wikidata.org/entity/Q104530260,Tjiboeni-Tjipongpok Caoutchouc Maatschappij,чай,Нидерланды,Амстердам,Point(4.883333333 52.366666666),1910
http://www.wikidata.org/entity/Q104733666,"Sumatra Rubber Cultuur Maatschappij ""Serbadjadi""",кофе,Нидерланды,Амстердам,Point(4.883333333 52.366666666),1909
http://www.wikidata.org/entity/Q104887237,"Rubber Cultuur Maatschappij ""Kendeng Lemboe""",кофе,Нидерланды,Амстердам,Point(4.883333333 52.366666666),1909
http://www.wikidata.org/entity/Q104888250,Bandar Rubber Maatschappij,кофе,Нидерланды,Амстердам,Point(4.883333333 52.366666666),1910
http://www.wikidata.org/entity/Q105064589,Cambuhy Coffee and Cotton Estates,кофе,Великобритания,Лондон,Point(-0.1275 51.507222222),1925
http://www.wikidata.org/entity/Q105064589,Cambuhy Coffee and Cotton Estates,кофе,Соединённое королевство Великобритании и Ирландии,Лондон,Point(-0.1275 51.507222222),1925
http://www.wikidata.org/entity/Q105071259,Ceylon Tea Plantations,чай,Великобритания,Лондон,Point(-0.1275 51.507222222),1886
http://www.wikidata.org/entity/Q105071259,Ceylon Tea Plantations,чай,Соединённое королевство Великобритании и Ирландии,Лондон,Point(-0.1275 51.507222222),1886
http://www.wikidata.org/entity/Q105080718,Amsterdam-Tapanoeli Rubber Cultur Maatschappij,кофе,Нидерланды,Амстердам,Point(4.883333333 52.366666666),1910
http://www.wikidata.org/entity/Q105233535,Cultuur Maatschappij Pondok-Gedeh,кофе,Нидерланды,Гаага,Point(4.31 52.08),1832
http://www.wikidata.org/entity/Q105233535,Cultuur Maatschappij Pondok-Gedeh,чай,Нидерланды,Гаага,Point(4.31 52.08),1832
http://www.wikidata.org/entity/Q105296791,Dutch East Indian Agricultural Company,чай,Нидерланды,Амстердам,Point(4.883333333 52.366666666),1884
http://www.wikidata.org/entity/Q105426875,British Rubber Estates of Java,кофе,Соединённое королевство Великобритании и Ирландии,Лондон,Point(-0.1275 51.507222222),1910
http://www.wikidata.org/entity/Q105426875,British Rubber Estates of Java,чай,Соединённое королевство Великобритании и Ирландии,Лондон,Point(-0.1275 51.507222222),1910
http://www.wikidata.org/entity/Q105477506,Insulinde Cultuur Syndicaat,кофе,Нидерланды,Амстердам,Point(4.883333333 52.366666666),1910
http://www.wikidata.org/entity/Q105477506,Insulinde Cultuur Syndicaat,чай,Нидерланды,Амстердам,Point(4.883333333 52.366666666),1910
http://www.wikidata.org/entity/Q105542987,Moluccan Trade Company,кофе,Нидерланды,Амстердам,Point(4.883333333 52.366666666),1881
http://www.wikidata.org/entity/Q106290996,Bajoe Kidoel Rubber & Produce Co.,кофе,Соединённое королевство Великобритании и Ирландии,Лондон,Point(-0.1275 51.507222222),1911
http://www.wikidata.org/entity/Q106291172,Harrisons & Crosfield,чай,Великобритания,Лондон,Point(-0.1275 51.507222222),1844
http://www.wikidata.org/entity/Q106291172,Harrisons & Crosfield,чай,Соединённое королевство Великобритании и Ирландии,Лондон,Point(-0.1275 51.507222222),1844
http://www.wikidata.org/entity/Q106360262,Nerada Tea,чай,,Квинсленд,Point(143.0 -20.0),1882
http://www.wikidata.org/entity/Q106494090,Deli-Batavia Rubber Maatschappij,кофе,Нидерланды,Амстердам,Point(4.883333333 52.366666666),1910
http://www.wikidata.org/entity/Q106608890,Alpha Coffee,кофе,США,Cottonwood Heights,Point(-111.79217 40.61902),2010
http://www.wikidata.org/entity/Q106838103,Djember Rubber Estates,кофе,Великобритания,Лондон,Point(-0.1275 51.507222222),1910
http://www.wikidata.org/entity/Q107151170,Kolls,кофе,Германия,Бённингштедт,Point(9.906388888 53.665833333),1962
http://www.wikidata.org/entity/Q110122154,Q110122154,чай,Малайзия,Пучонг,Point(101.627 3.0019),2019
http://www.wikidata.org/entity/Q110835078,Devolli Corporation,кофе,Косово,Печ,Point(20.3143025 42.655468888),1989
http://www.wikidata.org/entity/Q111729778,Rakkasan Tea Company,чай,США,Даллас,Point(-96.808888888 32.779166666),2017
http://www.wikidata.org/entity/Q112216492,"Landbouw Maatschappij ""Pasir Kananga""",чай,Нидерланды,Амстердам,Point(4.883333333 52.366666666),1897
http://www.wikidata.org/entity/Q113059957,Mel-O-Cream Donuts,кофе,США,Спрингфилд,Point(-89.645 39.7975),1932
http://www.wikidata.org/entity/Q113383595,Q113383595,чай,Франция,Лион,Point(4.835 45.7675),2013
http://www.wikidata.org/entity/Q114828290,machi machi,чай,,,,2018
http://www.wikidata.org/entity/Q116766725,Central American Plantations Corporation,кофе,США,Нью-Йорк,Point(-74.006111111 40.712777777),1921
http://www.wikidata.org/entity/Q118489697,El Chaná,кофе,Уругвай,Palacio El Chaná,Point(-56.171111111 -34.898611111),1899
http://www.wikidata.org/entity/Q120997937,Compose Coffee,кофе,Республика Корея,Пусан,Point(129.075 35.18),2014
http://www.wikidata.org/entity/Q120997937,Compose Coffee,чай,Республика Корея,Пусан,Point(129.075 35.18),2014
http://www.wikidata.org/entity/Q121072061,Barn's,кофе,Саудовская Аравия,,,1992
http://www.wikidata.org/entity/Q122764967,Santos Palace,кофе,Бельгия,Моленбек-Сен-Жан,Point(4.338611111 50.854722222),1911
http://www.wikidata.org/entity/Q126489285,Pickup Coffee,кофе,,,,2022
http://www.wikidata.org/entity/Q131426654,Белкофе,кофе,Беларусь,Ошмяны,Point(25.9375 54.425),1946
http://www.wikidata.org/entity/Q132291927,Fleur de Café,кофе,Нидерланды,Девентер,Point(6.16 52.251111111),2007
http://www.wikidata.org/entity/Q132291927,Fleur de Café,чай,Нидерланды,Девентер,Point(6.16 52.251111111),2007
http://www.wikidata.org/entity/Q135728368,Saquella,кофе,Италия,Пескара,Point(14.214188888 42.464277777),1856
http://www.wikidata.org/entity/Q136735524,Caffé Trieste,кофе,Словакия,Кошице,Point(21.25 48.716666666),2008
http://www.wikidata.org/entity/Q137293468,Dreamers Coffee Roasters,кофе,Китайская Республика (Тайвань),,,2019
http://www.wikidata.org/entity/Q137293570,Miacucina,кофе,Китайская Республика (Тайвань),Китайская Республика (Тайвань),Point(121.0 24.0),2012
http://www.wikidata.org/entity/Q137293809,PRESERVE,кофе,Китайская Республика (Тайвань),Китайская Республика (Тайвань),Point(121.0 24.0),2022
http://www.wikidata.org/entity/Q137610754,Q137610754,кофе,Дания,Фарум,Point(12.358055555 55.808333333),1996
http://www.wikidata.org/entity/Q138411639,Taste of Guardians,кофе,Канада,Ванкувер,Point(-123.113888888 49.260833333),1924
http://www.wikidata.org/entity/Q138411639,Taste of Guardians,кофе,Канада,Мумбаи,Point(72.8775 19.075833333),1924
http://www.wikidata.org/entity/Q138411639,Taste of Guardians,кофе,Индия,Ванкувер,Point(-123.113888888 49.260833333),1924
