tea,teaLabel,type,typeLabel,country,countryLabel,processingMethod,processingMethodLabel,subclass,subclassLabel,image
http://www.wikidata.org/entity/Q5101843,Chiran tea,,,http://www.wikidata.org/entity/Q17,Япония,,,http://www.wikidata.org/entity/Q6346675,Kagoshima green tea,http://commons.wikimedia.org/wiki/Special:FilePath/Tea%20Plantation%20in%20Chiran%2001.jpg
http://www.wikidata.org/entity/Q24872072,batabata tea,,,http://www.wikidata.org/entity/Q17,Япония,,,http://www.wikidata.org/entity/Q22124782,furicha,
http://www.wikidata.org/entity/Q7928654,Vietnamese lotus tea,,,,,,,http://www.wikidata.org/entity/Q50304474,lotus tea,http://commons.wikimedia.org/wiki/Special:FilePath/Vietnameselotustea.jpg
http://www.wikidata.org/entity/Q30595699,maesil-cha,,,,,,,http://www.wikidata.org/entity/Q111029089,корейский фруктовый чай,
http://www.wikidata.org/entity/Q3505826,сутэй цай,,,http://www.wikidata.org/entity/Q711,Монголия,,,http://www.wikidata.org/entity/Q1884224,чай с молоком,http://commons.wikimedia.org/wiki/Special:FilePath/Tsai.JPG
http://www.wikidata.org/entity/Q60997803,Damine Tea,,,,,,,http://www.wikidata.org/entity/Q11509025,японский чай,http://commons.wikimedia.org/wiki/Special:FilePath/Shitara%20town%20Damine%20district%20landscape%20ac%20%281%29.jpg
http://www.wikidata.org/entity/Q55729572,yam tea,,,,,,,http://www.wikidata.org/entity/Q111028903,root tea,
http://www.wikidata.org/entity/Q16391891,Q16391891,,,,,,,http://www.wikidata.org/entity/Q1884224,чай с молоком,
http://www.wikidata.org/entity/Q131912244,Q131912244,,,http://www.wikidata.org/entity/Q17,Япония,,,http://www.wikidata.org/entity/Q11509025,японский чай,
http://www.wikidata.org/entity/Q131912245,Q131912245,,,http://www.wikidata.org/entity/Q17,Япония,,,http://www.wikidata.org/entity/Q11509025,японский чай,
http://www.wikidata.org/entity/Q124434035,матча латте,,,,,,,http://www.wikidata.org/entity/Q135137251,green tea latte,
http://www.wikidata.org/entity/Q20982513,Shahi Haleeb,,,http://www.wikidata.org/entity/Q805,Йемен,,,http://www.wikidata.org/entity/Q1884224,чай с молоком,
http://www.wikidata.org/entity/Q2748300,Юаньян,,,,,,,http://www.wikidata.org/entity/Q37756327,кофейный напиток,http://commons.wikimedia.org/wiki/Special:FilePath/Yuanyang%20%28drink%29.jpg
http://www.wikidata.org/entity/Q30043919,plum blossom tea,,,,,,,http://www.wikidata.org/entity/Q111029394,Korean flower and leaf tea,
http://www.wikidata.org/entity/Q11501752,Q11501752,,,,,,,http://www.wikidata.org/entity/Q11509025,японский чай,
http://www.wikidata.org/entity/Q135137251,green tea latte,,,,,,,http://www.wikidata.org/entity/Q133253650,tea latte,
http://www.wikidata.org/entity/Q5296976,Doodh Pati Chai,,,,,,,http://www.wikidata.org/entity/Q1884224,чай с молоком,http://commons.wikimedia.org/wiki/Special:FilePath/Doodh%20Patti%20Chai.JPG
http://www.wikidata.org/entity/Q11498426,Q11498426,,,,,,,http://www.wikidata.org/entity/Q30925932,Q30925932,
http://www.wikidata.org/entity/Q41356,Hong Kong-style milk tea,,,http://www.wikidata.org/entity/Q148,Китай,,,http://www.wikidata.org/entity/Q1884224,чай с молоком,http://commons.wikimedia.org/wiki/Special:FilePath/Hong%20Kong-style%20Milk%20Tea.jpg
http://www.wikidata.org/entity/Q6449330,arrowroot tea,,,,,,,http://www.wikidata.org/entity/Q111028903,root tea,
http://www.wikidata.org/entity/Q22124636,bukubuku tea,,,http://www.wikidata.org/entity/Q28025,Рюкю,,,http://www.wikidata.org/entity/Q22124782,furicha,http://commons.wikimedia.org/wiki/Special:FilePath/Bukubuku%20cha3.jpg
http://www.wikidata.org/entity/Q13636901,Huoshan Huangya tea,,,http://www.wikidata.org/entity/Q148,Китай,,,http://www.wikidata.org/entity/Q824529,жёлтый чай,http://commons.wikimedia.org/wiki/Special:FilePath/%D0%9B%D0%B8%D1%81%D1%82%D0%BE%D0%B2%D0%BE%D0%B9%20%D0%B6%D0%B5%D0%BB%D1%82%D1%8B%D0%B9%20%D1%87%D0%B0%D0%B9%20%D0%A5%D0%BE%D1%88%D0%B0%D0%BD%D1%8C%20%D0%A5%D1%83%D0%B0%D0%BD%20%D0%AF.jpg
http://www.wikidata.org/entity/Q13636901,Huoshan Huangya tea,,,http://www.wikidata.org/entity/Q148,Китай,,,http://www.wikidata.org/entity/Q824529,жёлтый чай,http://commons.wikimedia.org/wiki/Special:FilePath/Huoshan%20Huangya%20tea%20leaves%20close.jpg
http://www.wikidata.org/entity/Q4631922,24 flavors,,,,,,,http://www.wikidata.org/entity/Q5100949,китайский чай,
http://www.wikidata.org/entity/Q67933431,Truedan,,,http://www.wikidata.org/entity/Q865,Китайская Республика (Тайвань),,,http://www.wikidata.org/entity/Q715858,Чай с шариками,
http://www.wikidata.org/entity/Q11278034,botebote tea,,,,,,,http://www.wikidata.org/entity/Q22124782,furicha,
